"Year","State","Median Incidence"
2009,"AK",0
2009,"AL",0
2009,"AR",0
2009,"AZ",0
2009,"CA",12.65
2009,"CO",43.15
2009,"CT",20.45
2009,"DE",0
2009,"FL",0
2009,"GA",8.5
2009,"HI",0
2009,"IA",6.7
2009,"ID",20.8
2009,"IL",0
2009,"IN",0
2009,"KS",0
2009,"KY",0
2009,"LA",0
2009,"MA",0
2009,"MD",25.9
2009,"ME",0
2009,"MI",14
2009,"MN",24.6
2009,"MO",0
2009,"MS",0
2009,"MT",0
2009,"NC",0
2009,"ND",0
2009,"NE",0
2009,"NH",0
2009,"NJ",0
2009,"NM",32.85
2009,"NV",0
2009,"NY",0
2009,"OH",0
2009,"OK",25.35
2009,"OR",22.5
2009,"PA",0
2009,"RI",0
2009,"SC",0
2009,"SD",43.55
2009,"TN",8.7
2009,"TX",0
2009,"UT",0
2009,"VA",0
2009,"VT",0
2009,"WA",0
2009,"WI",0
2009,"WV",0
2009,"WY",0
2010,"AK",0
2010,"AL",0
2010,"AR",0
2010,"AZ",0
2010,"CA",13.6
2010,"CO",30.3
2010,"CT",23.9
2010,"DE",0
2010,"FL",0
2010,"GA",7.1
2010,"HI",0
2010,"IA",8.85
2010,"ID",0.9
2010,"IL",0
2010,"IN",0
2010,"KS",0
2010,"KY",0
2010,"LA",0
2010,"MA",0
2010,"MD",21.85
2010,"ME",0
2010,"MI",8.2
2010,"MN",21.6
2010,"MO",0
2010,"MS",0
2010,"MT",0
2010,"NC",0
2010,"ND",0
2010,"NE",0
2010,"NH",0
2010,"NJ",0
2010,"NM",23.4
2010,"NV",0
2010,"NY",0
2010,"OH",0
2010,"OK",19.1
2010,"OR",10.9
2010,"PA",0
2010,"RI",0
2010,"SC",0
2010,"SD",63.35
2010,"TN",7.9
2010,"TX",0
2010,"UT",1
2010,"VA",0
2010,"VT",0
2010,"WA",0
2010,"WI",0
2010,"WV",0
2010,"WY",0
2011,"AK",0
2011,"AL",0
2011,"AR",0
2011,"AZ",0
2011,"CA",1.45
2011,"CO",4.1
2011,"CT",1.4
2011,"DE",0
2011,"FL",0
2011,"GA",4.4
2011,"HI",0
2011,"IA",0
2011,"ID",4.8
2011,"IL",0
2011,"IN",0
2011,"KS",0
2011,"KY",0
2011,"LA",0
2011,"MA",0
2011,"MD",3
2011,"ME",0
2011,"MI",0
2011,"MN",2.1
2011,"MO",0
2011,"MS",0
2011,"MT",0
2011,"NC",0
2011,"ND",0
2011,"NE",0
2011,"NH",0
2011,"NJ",0
2011,"NM",1.3
2011,"NV",0
2011,"NY",0
2011,"OH",2.8
2011,"OK",22.95
2011,"OR",0.7
2011,"PA",0
2011,"RI",2.5
2011,"SC",0
2011,"SD",0
2011,"TN",1.6
2011,"TX",0
2011,"UT",8.8
2011,"VA",0
2011,"VT",0
2011,"WA",0
2011,"WI",0
2011,"WV",0
2011,"WY",0
2012,"AK",0
2012,"AL",0
2012,"AR",0
2012,"AZ",0
2012,"CA",1.1
2012,"CO",2.9
2012,"CT",0.6
2012,"DE",0
2012,"FL",0
2012,"GA",0.8
2012,"HI",0
2012,"IA",0.3
2012,"ID",0
2012,"IL",0
2012,"IN",0
2012,"KS",0
2012,"KY",0
2012,"LA",0
2012,"MA",0
2012,"MD",1.3
2012,"ME",0
2012,"MI",0
2012,"MN",1.6
2012,"MO",0
2012,"MS",0
2012,"MT",0
2012,"NC",0
2012,"ND",0
2012,"NE",0
2012,"NH",0
2012,"NJ",0
2012,"NM",0.6
2012,"NV",0
2012,"NY",0
2012,"OH",1
2012,"OK",0
2012,"OR",0.8
2012,"PA",0
2012,"RI",1
2012,"SC",0
2012,"SD",0
2012,"TN",0.7
2012,"TX",0
2012,"UT",2.5
2012,"VA",0
2012,"VT",0
2012,"WA",0
2012,"WI",0
2012,"WV",0
2012,"WY",0
2013,"AK",0
2013,"AL",0
2013,"AR",0
2013,"AZ",0
2013,"CA",5.2
2013,"CO",12.7
2013,"CT",9.4
2013,"DE",0
2013,"FL",0
2013,"GA",11.7
2013,"HI",0
2013,"IA",44.25
2013,"ID",0
2013,"IL",0
2013,"IN",0
2013,"KS",0
2013,"KY",0
2013,"LA",0
2013,"MA",0
2013,"MD",11.9
2013,"ME",0
2013,"MI",8.1
2013,"MN",11.1
2013,"MO",0
2013,"MS",0
2013,"MT",0
2013,"NC",0
2013,"ND",0
2013,"NE",0
2013,"NH",0
2013,"NJ",0
2013,"NM",6.5
2013,"NV",0
2013,"NY",0
2013,"OH",11.95
2013,"OK",0
2013,"OR",6.3
2013,"PA",0
2013,"RI",77.5
2013,"SC",0
2013,"SD",0
2013,"TN",7.3
2013,"TX",0
2013,"UT",13.2
2013,"VA",0
2013,"VT",0
2013,"WA",0
2013,"WI",0
2013,"WV",0
2013,"WY",0
2014,"AK",0
2014,"AL",0
2014,"AR",0
2014,"AZ",0
2014,"CA",6.1
2014,"CO",18.75
2014,"CT",11.3
2014,"DE",0
2014,"FL",0
2014,"GA",13
2014,"HI",0
2014,"IA",0
2014,"ID",0
2014,"IL",0
2014,"IN",0
2014,"KS",0
2014,"KY",0
2014,"LA",0
2014,"MA",0
2014,"MD",9.75
2014,"ME",0
2014,"MI",10.6
2014,"MN",12.5
2014,"MO",0
2014,"MS",0
2014,"MT",0
2014,"NC",0
2014,"ND",0
2014,"NE",0
2014,"NH",0
2014,"NJ",0
2014,"NM",10
2014,"NV",0
2014,"NY",0
2014,"OH",10.45
2014,"OK",0
2014,"OR",10.1
2014,"PA",0
2014,"RI",0
2014,"SC",0
2014,"SD",0
2014,"TN",15.6
2014,"TX",0
2014,"UT",18.8
2014,"VA",0
2014,"VT",0
2014,"WA",0
2014,"WI",0
2014,"WV",0
2014,"WY",0
2015,"AK",0
2015,"AL",0
2015,"AR",0
2015,"AZ",0
2015,"CA",7.55
2015,"CO",17.6
2015,"CT",8.5
2015,"DE",0
2015,"FL",0
2015,"GA",11.1
2015,"HI",0
2015,"IA",0
2015,"ID",0
2015,"IL",0
2015,"IN",0
2015,"KS",0
2015,"KY",0
2015,"LA",0
2015,"MA",0
2015,"MD",12.2
2015,"ME",0
2015,"MI",7.5
2015,"MN",12.15
2015,"MO",0
2015,"MS",0
2015,"MT",0
2015,"NC",0
2015,"ND",0
2015,"NE",0
2015,"NH",0
2015,"NJ",0
2015,"NM",9.55
2015,"NV",0
2015,"NY",0
2015,"OH",16.75
2015,"OK",0
2015,"OR",7.7
2015,"PA",0
2015,"RI",0
2015,"SC",0
2015,"SD",0
2015,"TN",5.9
2015,"TX",0
2015,"UT",16.35
2015,"VA",0
2015,"VT",0
2015,"WA",0
2015,"WI",0
2015,"WV",0
2015,"WY",0
2016,"AK",0
2016,"AL",0
2016,"AR",0
2016,"AZ",0
2016,"CA",6.9
2016,"CO",4.3
2016,"CT",4.55
2016,"DE",0
2016,"FL",0
2016,"GA",2.2
2016,"HI",0
2016,"IA",0
2016,"ID",0
2016,"IL",0
2016,"IN",0
2016,"KS",0
2016,"KY",0
2016,"LA",0
2016,"MA",0
2016,"MD",2.9
2016,"ME",0
2016,"MI",1
2016,"MN",2.3
2016,"MO",0
2016,"MS",0
2016,"MT",0
2016,"NC",0
2016,"ND",0
2016,"NE",0
2016,"NH",0
2016,"NJ",0
2016,"NM",1.55
2016,"NV",0
2016,"NY",0
2016,"OH",1.9
2016,"OK",0
2016,"OR",3.3
2016,"PA",0
2016,"RI",0
2016,"SC",0
2016,"SD",0
2016,"TN",2.2
2016,"TX",0
2016,"UT",6.7
2016,"VA",0
2016,"VT",0
2016,"WA",0
2016,"WI",0
2016,"WV",0
2016,"WY",0
2017,"AK",0
2017,"AL",0
2017,"AR",0
2017,"AZ",0
2017,"CA",12.4
2017,"CO",13.7
2017,"CT",9.05
2017,"DE",0
2017,"FL",0
2017,"GA",8.15
2017,"HI",0
2017,"IA",0
2017,"ID",0
2017,"IL",0
2017,"IN",0
2017,"KS",0
2017,"KY",0
2017,"LA",0
2017,"MA",0
2017,"MD",8.95
2017,"ME",0
2017,"MI",4.8
2017,"MN",7.85
2017,"MO",0
2017,"MS",0
2017,"MT",0
2017,"NC",0
2017,"ND",0
2017,"NE",0
2017,"NH",0
2017,"NJ",0
2017,"NM",6.6
2017,"NV",0
2017,"NY",0
2017,"OH",6.2
2017,"OK",0
2017,"OR",11.9
2017,"PA",0
2017,"RI",0
2017,"SC",0
2017,"SD",0
2017,"TN",8.05
2017,"TX",0
2017,"UT",16
2017,"VA",0
2017,"VT",0
2017,"WA",0
2017,"WI",0
2017,"WV",0
2017,"WY",0
2018,"AK",0
2018,"AL",0
2018,"AR",0
2018,"AZ",0
2018,"CA",15.5
2018,"CO",20
2018,"CT",9.75
2018,"DE",0
2018,"FL",0
2018,"GA",17.45
2018,"HI",0
2018,"IA",0
2018,"ID",0
2018,"IL",0
2018,"IN",0
2018,"KS",0
2018,"KY",0
2018,"LA",0
2018,"MA",0
2018,"MD",12.55
2018,"ME",0
2018,"MI",13.95
2018,"MN",15.4
2018,"MO",0
2018,"MS",0
2018,"MT",0
2018,"NC",0
2018,"ND",0
2018,"NE",0
2018,"NH",0
2018,"NJ",0
2018,"NM",19.9
2018,"NV",0
2018,"NY",0
2018,"OH",11.3
2018,"OK",0
2018,"OR",14
2018,"PA",0
2018,"RI",0
2018,"SC",0
2018,"SD",0
2018,"TN",15.35
2018,"TX",0
2018,"UT",15.85
2018,"VA",0
2018,"VT",0
2018,"WA",0
2018,"WI",0
2018,"WV",0
2018,"WY",0
2019,"AK",0
2019,"AL",0
2019,"AR",0
2019,"AZ",0
2019,"CA",12.3
2019,"CO",20
2019,"CT",13.9
2019,"DE",0
2019,"FL",0
2019,"GA",14.45
2019,"HI",0
2019,"IA",0
2019,"ID",0
